CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO39848;30/12/2023;30/12/2023;;Collecte;cpixtr8npf;;0;2517;11968;;;0;0;44,56;;44,56;GAM;;;;;
AUTO122283;30/12/2023;30/12/2023;30/12/2023;Collecte;lmRULFOu4I;NO_T02_SEYSSINS C+I POISAT ZA_LUN_OMR_1804/984;0;;;;;24003;0;68,38;;68,38;Eco-dechet;;;;;
AUTO122284;30/12/2023;30/12/2023;30/12/2023;Collecte;ZwYrotlxXp;VIZILLE 1 LUN DALIM;0;;;;;18693;0;134,95;;134,95;Eco-dechet;;;;;
AUTO122287;30/12/2023;30/12/2023;30/12/2023;Collecte;G9r6AqnDss;ST EGREVE 1821 LUN DALIM;0;;;;;19752;0;87,48;;87,48;Eco-dechet;;;;;
AUTO122289;30/12/2023;30/12/2023;;Collecte;nzKGfnHeNE;SEYSS/POISAT 985 LUN CS;0;;;;;0;0;79,26;;79,26;Eco-dechet;;;;;
AUTO122307;30/12/2023;30/12/2023;30/12/2023;Collecte;g6Qe0CSkCl;GREN T2S 1677 LUN DALIM;0;;;;;5160;0;15,98;;15,98;Eco-dechet;;;;;
AUTO122314;30/12/2023;30/12/2023;;Collecte;g6Qe0CSkCl;Echirolles 1 1716 LUN DALIM;0;;;;;0;0;71,49;;71,49;Eco-dechet;;;;;
AUTO122319;30/12/2023;30/12/2023;;Collecte PAV;ZwYrotlxXp;CAMPUS - EMBALLAGE - MERCREDI;0;;;;;0;0;0,23;;0,23;Eco-dechet;;;;;
AUTO38898;12/12/2023;12/12/2023;12/12/2023;Collecte;cpixtr8npf;;0;7936;1465;;;17563;0;45,8;;45,8;GAM;;;;;
AUTO38896;12/12/2023;12/12/2023;12/12/2023;Transport;aef992hscu;;361;1766;2364;;361;14360;0,19;93,38;0,19;93,57;GAM;;;;;
AUTO38897;12/12/2023;12/12/2023;12/12/2023;Collecte;7joy6o7022;SUD_T10_IDENTIF_MAR_OMR_120063;0;678;;;;6382;0;27,5;;27,5;GAM;120063;SUD;T10;MAR;OMR
